Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,36.85425791498883,37.79649504684399,36.69721778790467,37.57521057128906,148158800,0.0,0.0
2019-01-03 00:00:00-05:00,34.25834341824749,34.67235722227103,33.78722676584075,33.832435607910156,365248800,0.0,0.0
2019-01-04 00:00:00-05:00,34.3892170595102,35.345729898875284,34.21552314309918,35.27672576904297,234428400,0.0,0.0
2019-01-07 00:00:00-05:00,35.381413677453956,35.41234680881426,34.7151859148074,35.19820022583008,219111200,0.0,0.0
2019-01-08 00:00:00-05:00,35.58604690991342,36.12378972115468,35.33859270778415,35.86919403076172,164101200,0.0,0.0
2019-01-09 00:00:00-05:00,35.99766585904337,36.76858687365271,35.602691237294295,36.478302001953125,180396400,0.0,0.0
2019-01-10 00:00:00-05:00,36.285585382893906,36.6353549226105,35.89536677383828,36.594905853271484,143122800,0.0,0.0
2019-01-11 00:00:00-05:00,36.37600110449598,36.57110858307444,36.05002323062101,36.23561477661133,108092800,0.0,0.0
2019-01-14 00:00:00-05:00,35.89297614047148,35.99290974104854,35.50513574272239,35.69072723388672,129756800,0.0,0.0
2019-01-15 00:00:00-05:00,35.75499462253487,36.497361066040845,35.70264789837475,36.42122268676758,114843600,0.0,0.0
2019-01-16 00:00:00-05:00,36.42359595644454,37.08982393275848,36.40456045647552,36.86616134643555,122278800,0.0,0.0
2019-01-17 00:00:00-05:00,36.69007793309382,37.51334588700581,36.46641539408566,37.08505630493164,119284800,0.0,0.0
2019-01-18 00:00:00-05:00,37.47526899184965,37.56568667566943,37.113601887219595,37.313472747802734,135004000,0.0,0.0
2019-01-22 00:00:00-05:00,37.2159250418447,37.29206339899699,36.314136980893885,36.47593688964844,121576000,0.0,0.0
2019-01-23 00:00:00-05:00,36.67819128978241,36.913751538202476,36.095243120563836,36.62346649169922,92522400,0.0,0.0
2019-01-24 00:00:00-05:00,36.66866181499719,36.75669780079705,36.10474935564246,36.333168029785156,101766000,0.0,0.0
2019-01-25 00:00:00-05:00,36.99463717184698,37.62517569702941,36.718631568016214,37.53713607788086,134142000,0.0,0.0
2019-01-28 00:00:00-05:00,37.06840363772336,37.19689234414636,36.56159756204397,37.189754486083984,104768400,0.0,0.0
2019-01-29 00:00:00-05:00,37.177851753922326,37.62517682803338,36.66866404152659,36.80428695678711,166348800,0.0,0.0
2019-01-30 00:00:00-05:00,38.84342880364445,39.53344844498653,38.12485409648342,39.319305419921875,244439200,0.0,0.0
2019-01-31 00:00:00-05:00,39.52392363533564,40.21156504622559,39.15511861440305,39.60244369506836,162958400,0.0,0.0
2019-02-01 00:00:00-05:00,39.726183921317705,40.20681671868992,39.48110410894883,39.621490478515625,130672400,0.0,0.0
2019-02-04 00:00:00-05:00,39.83323961527012,40.844477084128826,39.80230648382668,40.74692153930664,125982000,0.0,0.0
2019-02-05 00:00:00-05:00,41.13000376807158,41.65822694434279,41.008656574309036,41.4440803527832,144406400,0.0,0.0
2019-02-06 00:00:00-05:00,41.55591068027246,41.7748170482294,41.12762476808099,41.45835876464844,112958400,0.0,0.0
2019-02-07 00:00:00-05:00,41.02056756291846,41.386994632529436,40.530415172991574,40.673179626464844,126966800,0.0,0.0
2019-02-08 00:00:00-05:00,40.381637745202596,40.78069839317819,40.245429516724585,40.7209587097168,95280000,0.1825,0.0
2019-02-11 00:00:00-05:00,40.87389390411717,40.91212817826302,40.44376743552907,40.486778259277344,83973600,0.0,0.0
2019-02-12 00:00:00-05:00,40.646879429338085,40.861940817256425,40.551293754313846,40.835655212402344,89134000,0.0,0.0
2019-02-13 00:00:00-05:00,40.955138230742534,41.21560238179154,40.60386859186247,40.66599655151367,89960800,0.0,0.0
2019-02-14 00:00:00-05:00,40.553691413976786,40.924074562670334,40.474834588255234,40.81415557861328,87342800,0.0,0.0
2019-02-15 00:00:00-05:00,40.921686728784024,41.02921743911906,40.563248596853064,40.723350524902344,98507200,0.0,0.0
2019-02-19 00:00:00-05:00,40.55368854142776,40.96708613224222,40.50111732800384,40.84521484375,75891200,0.0,0.0
2019-02-20 00:00:00-05:00,40.90733832161036,41.416321493088006,40.859547313325095,41.108062744140625,104457600,0.0,0.0
2019-02-21 00:00:00-05:00,41.05310868843414,41.18931326234548,40.694670609628645,40.876277923583984,68998800,0.0,0.0
2019-02-22 00:00:00-05:00,41.00054249285786,41.33986347807937,40.952751472416445,41.33269500732422,75652800,0.0,0.0
2019-02-25 00:00:00-05:00,41.617048590535184,42.025665930791185,41.566865658567025,41.63377380371094,87493600,0.0,0.0
2019-02-26 00:00:00-05:00,41.50953105017642,41.88947463319666,41.38049126780097,41.657684326171875,68280800,0.0,0.0
2019-02-27 00:00:00-05:00,41.39003258372819,41.817766996094335,41.27532979754628,41.78670120239258,111341600,0.0,0.0
2019-02-28 00:00:00-05:00,41.65528298161905,41.79626774171743,41.32073860868711,41.37569808959961,112861600,0.0,0.0
2019-03-01 00:00:00-05:00,41.64571440950068,41.85360727409688,41.31356202244457,41.81059646606445,103544800,0.0,0.0
2019-03-04 00:00:00-05:00,41.982655014743564,42.474909358370766,41.57164575485241,42.02088928222656,109744800,0.0,0.0
2019-03-05 00:00:00-05:00,42.04240144907716,42.05673839013298,41.70785702415031,41.944427490234375,78949600,0.0,0.0
2019-03-06 00:00:00-05:00,41.73892157519718,41.93486948700485,41.56448272054905,41.70307922363281,83241600,0.0,0.0
2019-03-07 00:00:00-05:00,41.54775884275365,41.68396708747858,41.10568732014163,41.22038650512695,99185600,0.0,0.0
2019-03-08 00:00:00-05:00,40.69945331449648,41.356589832825826,40.50350540248133,41.318355560302734,95997600,0.0,0.0
2019-03-11 00:00:00-04:00,41.93486368501011,42.80228128884256,41.901409612771666,42.74971008300781,128044000,0.0,0.0
